company_type;name;region;working_place;investments, milliom UAH;longitude;latitude;sf_coordinates
Industrial_parks;"ІП ""Сігма парк Яричів""";Львівська;6500;NA;24.261;49.911092;c(24.261, 49.911092)
Industrial_parks;"ІП ""Павлоград""";Дніпропетровська;5e3;NA;35.528412;48.461995;c(35.528412, 48.461995)
Industrial_parks;"Приватний ІП ""Мироцьке""";Київська;NA;NA;30.106831;50.563572;c(30.106831, 50.563572)
Industrial_parks;Вінницький індустріальний парк;Вінницька;7e3;NA;28.548554;49.237118;c(28.548554, 49.237118)
Industrial_parks;"ІП ""Вінницький кластер холодильного машинобудування""";Вінницька;NA;NA;28.562922;49.223471;c(28.562922, 49.223471)
Industrial_parks;"ІП ""ЖИТОМИР-СХІД""";Житомирська;NA;NA;28.723899;50.275938;c(28.723899, 50.275938)
Industrial_parks;"ІП ""Новодністровськ"""; Чернівецька;NA;NA;27.434111;48.578389;c(27.434111, 48.578389)
Industrial_parks;"ІП ""Фастіндастрі""";Київська;NA;NA;29.946111;50.0625;c(29.946111, 50.0625)
Industrial_parks;"ІП ""UNIT.City""";Київ;NA;NA;30.461767;50.467926;c(30.461767, 50.467926)
Industrial_parks;Яворівський ІП;Львівська;NA;NA;23.349895;50.092283;c(23.349895, 50.092283)
Industrial_parks;"Промисловий парк ""Тростянець""";Сумська;NA;NA;34.936297;50.488491;c(34.936297, 50.488491)
Industrial_parks;"ІП ""Золотоноша""";Черкаська;NA;NA;32.032705;49.689015;c(32.032705, 49.689015)
Industrial_parks;"ІП ""Кривбас""";Дніпропетровська;NA;NA;33.489223;47.968822;c(33.489223, 47.968822)
Industrial_parks;"ІП ""iPARK""";Одеська;NA;NA;30.998887;46.694436;c(30.998887, 46.694436)
Industrial_parks;"ІП ""Кам'янка-Бузький""";Львівська;NA;NA;24.33723;50.110015;c(24.33723, 50.110015)
Industrial_parks;Новороздільський ІП;Львівська;NA;NA;24.116613;49.467141;c(24.116613, 49.467141)
Industrial_parks;"ІП ""Нововолинськ""";Волинська;NA;NA;24.346942;50.804826;c(24.346942, 50.804826)
Industrial_parks;"ІП ""Лиманський""";Донецька;NA;NA;37.804996;48.989759;c(37.804996, 48.989759)
Industrial_parks;"ІП ""Ланнівський індустріальний парк""";Полтавська;NA;NA;35.251655;49.351069;c(35.251655, 49.351069)
Industrial_parks;"ІП ""Київщина""";Київська;3e3;NA;30.42867;50.622761;c(30.42867, 50.622761)
Industrial_parks;"ІП ""Олександрія""";Кіровоградська;NA;NA;33.146858;48.673665;c(33.146858, 48.673665)
Industrial_parks;"ІП ""Innovation District IT Park""";Львівська;NA;NA;24.020596;49.813791;c(24.020596, 49.813791)
Industrial_parks;"ІП ""Біла церква""";Київська;NA;NA;30.188873;49.781873;c(30.188873, 49.781873)
Working_Factories;Біогазовий завод;Київська;NA;NA;31.215366;50.317295;c(31.215366, 50.317295)
Working_Factories;"Біогазовий завод ""Сільгосппродукт""";Київська;NA;NA;30.500836;49.689265;c(30.500836, 49.689265)
Working_Factories;Біогазовий завод;Дніпропетровська;NA;16;35.314149;48.598535;c(35.314149, 48.598535)
Working_Factories;Біогазовий завод;Донецька;20;NA;37.4895;47.6036;c(37.4895, 47.6036)
Working_Factories;Біогазовий завод;Хмельницька;50;NA;26.46594;49.85033;c(26.46594, 49.85033)
Working_Factories;Біогазовий завод;Миколаївська;NA;NA;30.991489;47.418758;c(30.991489, 47.418758)
Working_Factories;Біогазова установка;Черкаська;NA;NA;31.895356;49.420701;c(31.895356, 49.420701)
Working_Factories;Біогазовий комплекс;Одеська;24;544;29.458461;47.555757;c(29.458461, 47.555757)
Working_Factories;Станція з переробки відходів в біогаз;Дніпропетровська;NA;NA;34.647418;48.599171;c(34.647418, 48.599171)
Working_Factories;"Завод ""TM Ondo""";Івано-Франківська;NA;NA;24.700012;48.921597;c(24.700012, 48.921597)
Working_Factories;Завод з виготовлення змішаних мінеральних добрив;Тернопільська;NA;NA;25.698706;50.131129;c(25.698706, 50.131129)
Working_Factories;"Завод ""Тернопільський кар'єр""";Тернопільська;NA;15;25.920653;49.539901;c(25.920653, 49.539901)
Working_Factories;"Завод насіння НВФГ ""МАЇС""";Дніпропетровська;NA;NA;35.666111;48.432778;c(35.666111, 48.432778)
Working_Factories;"Ливарний завод ПрАТ ""Металіт""";Кіровоградська;200;120;32.335654;48.502698;c(32.335654, 48.502698)
Working_Factories;"Маслоекстракційний завод ""Allseeds Black Sea""";Одеська;NA;5600;31.026771;46.618898;c(31.026771, 46.618898)
Working_Factories;Молокозавод;Львівська;NA;NA;23.055812;48.899302;c(23.055812, 48.899302)
Working_Factories;"Завод "" Puratos""";Одеська;60;224;30.583333;46.6;c(30.583333, 46.6)
Working_Factories;Чайна фабрика Unilever;Київська;NA;NA;30.215074;50.579141;c(30.215074, 50.579141)
Working_Factories;Зерновий термінал та олійнопереробний завод Bunge;Миколаївська;NA;NA;32.003542;46.949856;c(32.003542, 46.949856)
Working_Factories;"Завод полуфабрикатів ""Інтерагросистема""";Чернігівська;50;48;32.247676;51.52694;c(32.247676, 51.52694)
Working_Factories;Завод по производству удобрений из мусора;Харківська;NA;NA;35.540244;50.163624;c(35.540244, 50.163624)
Working_Factories;"Хлібозавод компанії ""Хлібні інвестиції""";Київська;NA;NA;30.435882;50.623393;c(30.435882, 50.623393)
Working_Factories;Завод з переробки сміття;Закарпатська;NA;NA;22.62912;48.252513;c(22.62912, 48.252513)
Working_Factories;Завод по производству бетона и растворов;Київська;NA;NA;30.840513;50.523715;c(30.840513, 50.523715)
Working_Factories;Завод з виготовлення бітумної емульсії;Івано-Франківська;NA;9;25.496255;48.672398;c(25.496255, 48.672398)
Working_Factories;Завод по переработке молока;Полтавська;NA;NA;34.467661;49.849492;c(34.467661, 49.849492)
Working_Factories;Завод по переробці олійних культур;Львівська;45;NA;24.856824;49.837736;c(24.856824, 49.837736)
Working_Factories;Завод із виробництва електричного устаткування - 1;Львівська;1200;NA;23.897136;49.860054;c(23.897136, 49.860054)
Working_Factories;Завод із виробництва електричного устаткування - 2;Львівська;1800;NA;23.895849;49.860265;c(23.895849, 49.860265)
Working_Factories;"Перевантажувальний термінал філії ""Вознесенська""";Миколаївська;NA;500;31.325015;47.533972;c(31.325015, 47.533972)
Working_Factories;Перевантажувальний термінал;Миколаївська;NA;450;31.191145;47.753814;c(31.191145, 47.753814)
Working_Factories;Завод з виробництва мінеральних добрив;Київська;NA;110;30.131085;49.796798;c(30.131085, 49.796798)
Working_Factories;Комплекс вдування пиловугільного палива;Донецька;NA;NA;37.584221;47.096073;c(37.584221, 47.096073)
Working_Factories;Тваринницький комплекс;Тернопільська;NA;NA;25.362246;49.15978;c(25.362246, 49.15978)
Working_Factories;Тваринницький комплекс;Тернопільська;80;NA;25.472725;49.112205;c(25.472725, 49.112205)
Working_Factories;Переробний комплекс та фруктосховище;Тернопільська;NA;NA;25.381716;49.064831;c(25.381716, 49.064831)
Working_Factories;Елеваторний комплекс;Луганська;55;NA;38.17001;49.403732;c(38.17001, 49.403732)
Working_Factories;Перегрузочный зерновой комплекс;Херсонська;NA;NA;34.821324;46.178373;c(34.821324, 46.178373)
Working_Factories;Завод з виробництва електротехнічного та оптичного устаткування;Житомирська;NA;NA;28.681383;50.343676;c(28.681383, 50.343676)
Working_Factories;Завод із переробки сої;Тернопільська;12;NA;25.49136;49.426568;c(25.49136, 49.426568)
Working_Factories;Завод з виробництва паливних гранул;Львівська;NA;2;23.865275;49.88821;c(23.865275, 49.88821)
Working_Factories;Завод з виробництва мінеральних добрив;Рівненська;NA;NA;26.375522;50.765412;c(26.375522, 50.765412)
Working_Factories;Завод з виробництва комплектуючих для Audi та BMW;Львівська;1100;132;23.890795;49.883277;c(23.890795, 49.883277)
Working_Factories;Завод з виробництва комплектуючих ;Львівська;1e3;NA;23.890479;49.882206;c(23.890479, 49.882206)
Working_Factories;Маслоналивной терминал;Миколаївська;NA;NA;31.952608;46.774939;c(31.952608, 46.774939)
Working_Factories;Завод з виробництва електрокабельної продукції; Чернівецька;1e3;80;25.935837;48.292079;c(25.935837, 48.292079)
Working_Factories;Завод з виробництва кабельно-провідникової продукції;Тернопільська;2500;384;25.802651;49.010884;c(25.802651, 49.010884)
Working_Factories;Завод комплектуючих для авто;Івано-Франківська;5e3;512;25.0616;48.5348;c(25.0616, 48.5348)
Working_Factories;Завод з переробки сільськогосподарських культур;Чернігівська;NA;NA;32.397489;50.857956;c(32.397489, 50.857956)
Working_Factories;Линия по переработке древесины;Сумська;NA;7;33.472069;51.770522;c(33.472069, 51.770522)
Working_Factories;"Насіннєвий завод ""КВС-Україна""";Хмельницька;NA;NA;26.593222;48.703677;c(26.593222, 48.703677)
Working_Factories;"Швейна фабрика ""Blue Moon Clothing""";Львівська;NA;NA;24.035658;49.863729;c(24.035658, 49.863729)
Working_Factories;Швейна фабрика;Львівська;45;NA;24.329;50.064194;c(24.329, 50.064194)
Working_Factories;Фабрика агрохімікатів;Черкаська;NA;NA;32.053296;49.392755;c(32.053296, 49.392755)
Working_Factories;Завод з виробництва асфальту;Закарпатська;NA;NA;22.76359;48.467455;c(22.76359, 48.467455)
Working_Factories;Завод ФФУ з виробництва штучних футбольних полів;Київська;50;NA;30.868693;50.314928;c(30.868693, 50.314928)
Working_Factories;"Завод ""Українські Лісопильні""";Рівненська;150;800;26.438361;50.895095;c(26.438361, 50.895095)
Working_Factories;Фармацевтичний завод;Київська;NA;1176;30.136728;49.813847;c(30.136728, 49.813847)
Working_Factories;"Теплоелектростанція ""Знаменівка""";Дніпропетровська;NA;NA;35.465612;48.637057;c(35.465612, 48.637057)
Working_Factories;Завод із виробництва тротуарної плитки та бетонних виробів;Львівська;16;29;23.639486;49.781851;c(23.639486, 49.781851)
Working_Factories;Завод з виробництва борошна;Львівська;35;30;24.81096;49.957799;c(24.81096, 49.957799)
Working_Factories;Завод побутової техніки;Черкаська;1200;NA;32.033782;49.407922;c(32.033782, 49.407922)
Working_Factories;Завод з виробництва EVA-матів;Одеська;NA;NA;30.643411;46.297115;c(30.643411, 46.297115)
Working_Factories;Тепличний комплекс;Львівська;12;NA;24.614231;49.968297;c(24.614231, 49.968297)
Working_Factories;Асфальтобетонний завод;Закарпатська;40;NA;22.72522;48.423275;c(22.72522, 48.423275)
Working_Factories;Асфальтобетонний завод;Полтавська;50;NA;34.767251;49.609752;c(34.767251, 49.609752)
Working_Factories;Асфальтобетонний завод;Полтавська;NA;NA;34.109929;49.234842;c(34.109929, 49.234842)
Working_Factories;Асфальтобетонний завод;Івано-Франківська;NA;NA;25.161674;48.498489;c(25.161674, 48.498489)
Working_Factories;Асфальтобетонний завод;Львівська;NA;NA;24.23937;50.472932;c(24.23937, 50.472932)
Working_Factories;Асфальтобетонний завод;Донецька;NA;NA;37.559968;48.718058;c(37.559968, 48.718058)
Working_Factories;Асфальтобетонний завод;Львівська;NA;NA;23.968828;49.516305;c(23.968828, 49.516305)
Working_Factories;Асфальтобетонний завод Marini;Дніпропетровська;NA;NA;33.758136;48.101699000000004;c(33.758136, 48.101699)
Working_Factories;Асфальтобетонний завод Marini;Дніпропетровська;NA;NA;34.775215;48.338277;c(34.775215, 48.338277)
Working_Factories;Асфальтобетонний завод;Херсонська;NA;NA;34.408122;46.907654;c(34.408122, 46.907654)
Working_Factories;Асфальтобетонний завод;Донецька;NA;NA;37.492932;47.084182;c(37.492932, 47.084182)
Working_Factories;Асфальтобетонний завод;Львівська;100;NA;23.249294;49.554578;c(23.249294, 49.554578)
Working_Factories;Асфальтобетонний завод;Сумська;NA;13;34.789757;50.939101;c(34.789757, 50.939101)
Working_Factories;Асфальтобетонний завод;Закарпатська;NA;NA;23.183589;48.716885;c(23.183589, 48.716885)
Working_Factories;Асфальтобетонний завод;Дніпропетровська;NA;NA;34.571754;48.176183;c(34.571754, 48.176183)
Working_Factories;Асфальтобетонний завод;Харківська;NA;NA;36.115503;50.109721;c(36.115503, 50.109721)
Working_Factories;Асфальтобетонний завод;Дніпропетровська;NA;NA;35.194053;48.614675;c(35.194053, 48.614675)
Working_Factories;Асфальтобетонний завод;Кіровоградська;NA;NA;32.224737;48.962787;c(32.224737, 48.962787)
Working_Factories;Асфальтобетонний завод;Вінницька;11;NA;29.006395;48.926165;c(29.006395, 48.926165)
Working_Factories;Асфальтобетонний завод;Кіровоградська;NA;NA;33.096787;48.66327;c(33.096787, 48.66327)
Working_Factories;Асфальтний завод;Закарпатська;NA;NA;23.681269;48.000385;c(23.681269, 48.000385)
