Тип підприємства;Підприємство;Область;Кіл-ть робочих місць;Сума інвестицій, млн.грн
Індустріальні парки;"ІП ""Сігма парк Яричів""";Львівська;6500;NA
Індустріальні парки;"ІП ""Павлоград""";Дніпропетровська;5e3;NA
Індустріальні парки;"Приватний ІП ""Мироцьке""";Київська;NA;NA
Індустріальні парки;Вінницький індустріальний парк;Вінницька;7e3;NA
Індустріальні парки;"ІП ""Вінницький кластер холодильного машинобудування""";Вінницька;NA;NA
Індустріальні парки;"ІП ""ЖИТОМИР-СХІД""";Житомирська;NA;NA
Індустріальні парки;"ІП ""Новодністровськ"""; Чернівецька;NA;NA
Індустріальні парки;"ІП ""Фастіндастрі""";Київська;NA;NA
Індустріальні парки;"ІП ""UNIT.City""";Київ;NA;NA
Індустріальні парки;Яворівський ІП;Львівська;NA;NA
Індустріальні парки;"Промисловий парк ""Тростянець""";Сумська;NA;NA
Індустріальні парки;"ІП ""Золотоноша""";Черкаська;NA;NA
Індустріальні парки;"ІП ""Кривбас""";Дніпропетровська;NA;NA
Індустріальні парки;"ІП ""iPARK""";Одеська;NA;NA
Індустріальні парки;"ІП ""Кам'янка-Бузький""";Львівська;NA;NA
Індустріальні парки;Новороздільський ІП;Львівська;NA;NA
Індустріальні парки;"ІП ""Нововолинськ""";Волинська;NA;NA
Індустріальні парки;"ІП ""Лиманський""";Донецька;NA;NA
Індустріальні парки;"ІП ""Ланнівський індустріальний парк""";Полтавська;NA;NA
Індустріальні парки;"ІП ""Київщина""";Київська;3e3;NA
Індустріальні парки;"ІП ""Олександрія""";Кіровоградська;NA;NA
Індустріальні парки;"ІП ""Innovation District IT Park""";Львівська;NA;NA
Індустріальні парки;"ІП ""Біла церква""";Київська;NA;NA
Діючи заводи;Біогазовий завод;Київська;NA;NA
Діючи заводи;"Біогазовий завод ""Сільгосппродукт""";Київська;NA;NA
Діючи заводи;Біогазовий завод;Дніпропетровська;NA;16
Діючи заводи;Біогазовий завод;Донецька;20;NA
Діючи заводи;Біогазовий завод;Хмельницька;50;NA
Діючи заводи;Біогазовий завод;Миколаївська;NA;NA
Діючи заводи;Біогазова установка;Черкаська;NA;NA
Діючи заводи;Біогазовий комплекс;Одеська;24;544
Діючи заводи;Станція з переробки відходів в біогаз;Дніпропетровська;NA;NA
Діючи заводи;"Завод ""TM Ondo""";Івано-Франківська;NA;NA
Діючи заводи;Завод з виготовлення змішаних мінеральних добрив;Тернопільська;NA;NA
Діючи заводи;"Завод ""Тернопільський кар'єр""";Тернопільська;NA;15
Діючи заводи;"Завод насіння НВФГ ""МАЇС""";Дніпропетровська;NA;NA
Діючи заводи;"Ливарний завод ПрАТ ""Металіт""";Кіровоградська;200;120
Діючи заводи;"Маслоекстракційний завод ""Allseeds Black Sea""";Одеська;NA;5600
Діючи заводи;Молокозавод;Львівська;NA;NA
Діючи заводи;"Завод "" Puratos""";Одеська;60;224
Діючи заводи;Чайна фабрика Unilever;Київська;NA;NA
Діючи заводи;Зерновий термінал та олійнопереробний завод Bunge;Миколаївська;NA;NA
Діючи заводи;"Завод полуфабрикатів ""Інтерагросистема""";Чернігівська;50;48
